,pe_ratio,pb_ratio,market_cap,report_date,ors,npgr,roic,pe_ratio_score,pb_ratio_score,market_cap_score,report_date_score,ors_score,npgr_score,roic_score
000672.SZ,32.4692,3.9756,71.1917,2015-09-30,582809600.0,-88.0199966431,0.2119999975,5,6,5,8,5,9,4
000673.SZ,311.668,3.6047,72.1695,2015-09-30,116247696.0,2098.1101074219,-1.0809999704,10,6,5,9,9,1,10
000676.SZ,-35.2493,21.2182,25.6703,2015-09-30,81633648.0,23.4799995422,0.3319999874,2,10,1,10,9,4,3
000677.SZ,-11.1017,133.4842,46.2228,2015-09-30,608316224.0,4.8099999428,0.0419999994,3,10,3,10,5,5,6
000678.SZ,-132.4598,2.7109,28.6625,2015-09-30,259841152.0,-301.8200073242,-0.2800000012,1,4,1,10,7,10,9
000679.SZ,50.0658,3.6616,58.5565,2015-09-30,643935552.0,-5.1900000572,-1.1699999571,7,6,4,10,5,6,10
000680.SZ,-20.265,1.7108,64.3969,2015-09-30,781642752.0,-885.2399902344,0.1439999938,2,2,5,10,5,10,5
000681.SZ,130.2746,9.6656,190.3469,2015-09-30,90862888.0,28.3400001526,0.1010000035,9,9,9,10,9,4,5
000682.SZ,109.6273,3.5961,53.3099,2015-09-30,494042528.0,21.2299995422,-0.1819999963,8,6,4,10,6,4,9
000683.SZ,49.8541,1.2423,75.6022,2015-09-30,1790355328.0,-57.5,0.5,7,1,6,10,3,8,3
000685.SZ,11.6314,1.7296,163.2899,2015-09-30,334356960.0,136.3000030518,0.2049999982,3,2,8,10,7,2,4
000686.SZ,8.731,2.1379,223.3126,2015-09-30,987912192.0,270.6499938965,-2.1089999676,3,3,9,10,4,1,10
000687.SZ,125.3314,6.8297,95.4284,2015-09-30,259278336.0,131.9600067139,-0.6529999971,9,9,6,10,7,2,10
000688.SZ,59.8971,14.8549,194.137,2015-09-30,187884192.0,-31.1499996185,0.1199999973,7,10,9,10,8,7,5
000690.SZ,14.6844,2.5757,126.5607,2015-09-30,898483136.0,-39.2099990845,0.5460000038,4,4,8,10,4,8,3
000691.SZ,-86.3944,16.4485,20.657,2015-09-30,15492239.0,42.3300018311,-0.0049999999,2,10,1,10,10,3,7
000692.SZ,72.2454,2.3349,31.2773,2015-09-30,33067652.0,7.1700000763,-1.0920000076,8,3,1,10,10,5,10
000695.SZ,595.0174,9.8537,31.1895,2015-09-30,94864392.0,21.2800006866,0.2560000122,10,9,1,10,9,4,4
000697.SZ,123.7432,7.145,102.5334,2015-09-30,71893800.0,5.1100001335,-0.0299999993,9,9,7,10,9,5,7
000698.SZ,227.5515,1.1763,36.2189,2015-09-30,3491441920.0,486.4700012207,0.2129999995,9,1,2,10,2,1,4
000700.SZ,17.0729,2.3697,54.4719,2015-09-30,725953408.0,27.7399997711,0.6119999886,4,3,4,10,5,4,2
000701.SZ,21.9304,2.1994,40.6636,2015-09-30,7891249152.0,-2.2400000095,-10.904999733,4,3,3,10,1,6,10
000702.SZ,119.9873,6.3115,29.5964,2015-09-30,402467776.0,-28.4599990845,0.1030000001,8,8,1,10,6,7,5
000703.SZ,-48.284,1.6894,87.8627,2015-09-30,7432777216.0,-19.8999996185,1.5089999437,2,2,6,10,1,7,1
000705.SZ,307.9044,3.156,38.8251,2015-09-30,524285760.0,-81.0,0.0379999988,10,5,2,10,6,9,6
000707.SZ,1007.5137,3.7575,53.8873,2015-09-30,991402304.0,-11.470000267,0.1529999971,10,6,4,10,4,6,5
000708.SZ,22.7323,1.8583,62.5577,2015-09-30,1352375296.0,-8.8900003433,0.7120000124,4,2,5,9,3,6,2
000709.SZ,47.2601,0.7852,340.8573,2015-09-30,18761736192.0,1.4199999571,0.97299999,7,1,10,10,1,6,2
000710.SZ,565.796,30.0482,37.6186,2015-09-30,41051088.0,-7.75,-0.4769999981,10,10,2,9,10,6,9
000711.SZ,-6.2687,-13.1681,36.4113,2015-09-30,13741152.0,-1598.5699462891,-0.0179999992,3,1,2,9,10,10,7
000712.SZ,26.3203,6.5088,194.88,2015-09-30,6035411.0,145.4700012207,3.635999918,5,8,9,9,10,2,1
000713.SZ,52.2593,2.1045,28.4829,2015-09-30,109504856.0,-86.2200012207,0.1580000073,7,3,1,9,9,9,5
000715.SZ,33.5241,2.2398,25.1663,2015-09-30,612261504.0,-25.0200004578,0.1180000007,6,3,1,9,5,7,5
000716.SZ,51.9833,2.1799,36.3775,2015-09-30,319974528.0,63.2200012207,-0.174999997,7,3,2,9,7,3,8
000717.SZ,-9.0633,6.7521,138.8807,2015-09-30,2983174912.0,-106.5699996948,0.064000003,3,9,8,9,2,9,6
000718.SZ,17.7247,3.8294,183.2744,2015-09-30,1469652864.0,2010.9599609375,0.6380000114,4,6,9,9,3,1,2
000719.SZ,20.5502,2.4923,144.193,2015-09-30,1445445632.0,12.5699996948,0.1369999945,4,4,8,9,3,5,5
000720.SZ,58.88,6.7682,62.5145,2015-09-30,942463744.0,32.5200004578,0.6930000186,7,9,5,9,4,3,2
000721.SZ,695.7381,4.7824,32.9377,2015-09-30,128454432.0,-281.7699890137,-0.0250000004,10,7,2,9,9,10,7
000722.SZ,44.8642,2.7561,69.3452,2015-09-30,77298344.0,-29.0100002289,0.2370000035,6,4,5,9,9,7,4
000723.SZ,-194.8853,5.2394,22.7826,2015-09-30,149879440.0,-1277.9699707031,-0.0560000017,1,8,1,9,8,10,7
000727.SZ,-18288.4725,1.6522,177.3325,2015-09-30,263579248.0,-424.0700073242,0.6660000086,1,2,9,9,7,10,2
000728.SZ,12.1616,1.6884,322.5052,2015-09-30,949332736.0,137.2700042725,4.5739998817,3,2,10,9,4,2,1
000729.SZ,29.3008,1.709,217.5912,2015-09-30,4410280448.0,-6.3899998665,0.8600000143,5,2,9,9,2,6,2
000731.SZ,-68.276,1.8399,49.8621,2015-09-30,1227204864.0,125.1800003052,0.1030000001,2,2,4,10,4,2,5
000732.SZ,27.8262,2.6676,257.6013,2015-09-30,2378219264.0,33.1699981689,1.8270000219,5,4,9,10,2,3,1
000733.SZ,63.2653,2.5321,86.5467,2015-09-30,1674088960.0,26.9500007629,-0.2360000014,7,4,6,10,3,4,9
000735.SZ,188.3173,3.3648,55.9764,2015-09-30,147073888.0,-19.4899997711,0.0700000003,9,5,4,10,8,7,5
000736.SZ,304.9339,2.4464,41.6666,2015-09-30,71930576.0,-78.0500030518,-0.0299999993,10,4,3,10,9,9,7
000737.SZ,128.9442,9.71,26.0112,2015-09-30,502688000.0,3.4100000858,0.1879999936,9,9,1,10,6,5,4
000738.SZ,142.8744,5.568,258.8006,2015-09-30,591539072.0,-1.8200000525,0.0450000018,9,8,9,10,5,6,6
000739.SZ,33.7684,3.2683,79.7074,2015-09-30,1105681664.0,-33.5999984741,0.1920000017,6,5,6,10,4,7,4
000750.SZ,18.0958,2.2549,279.912,2015-09-30,1070606720.0,203.0099945068,-1.5549999475,4,3,9,10,4,1,10
000751.SZ,76.3032,3.5283,69.9295,2015-09-30,1001461760.0,20.7399997711,-0.0500000007,8,6,5,10,4,4,7
000752.SZ,120.0675,4.1769,32.8907,2015-09-30,102310008.0,6.4499998093,0.3540000021,9,7,2,10,9,5,3
000753.SZ,472.0075,3.2823,46.9482,2015-09-30,717407616.0,-270.6199951172,0.0189999994,10,5,3,10,5,10,6
000755.SZ,-19.9027,2.6796,39.7936,2015-09-30,1334704768.0,-2242.9399414062,-0.1360000074,2,4,2,10,4,10,8
000756.SZ,151.5695,3.017,55.472,2015-09-30,824916544.0,28.0100002289,0.4420000017,9,5,4,10,5,4,3
000757.SZ,154.9668,7.3687,40.4201,2015-09-30,101919368.0,28.1800003052,0.0020000001,9,9,2,10,9,4,7
000758.SZ,31.3764,2.7635,129.979,2015-09-30,5079990272.0,294.6499938965,-0.5360000134,5,4,8,10,1,1,10
000759.SZ,43.7827,1.5714,46.9905,2015-09-30,3783122432.0,-159.3699951172,0.4850000143,6,2,3,10,2,9,3
000760.SZ,-151.7773,3.7991,58.0427,2015-09-30,51338544.0,-16877.740234375,-0.1509999931,1,6,4,10,10,10,8
000761.SZ,85.565,1.0408,159.936,2015-09-30,5018448896.0,-19.1800003052,-0.4469999969,8,1,8,10,1,7,9
000762.SZ,-105.5852,3.8822,63.3047,2015-09-30,236971536.0,228.2799987793,0.174999997,1,6,5,10,8,1,4
000766.SZ,976.1034,3.4742,43.3558,2015-09-30,51527472.0,16.7099990845,-0.1770000011,10,6,3,10,10,4,8
000767.SZ,16.6837,2.1049,120.8003,2015-09-30,2339726848.0,68.4100036621,0.6499999762,4,3,7,10,2,3,2
000768.SZ,198.652,4.3257,640.6645,2015-09-30,7190576128.0,-362.2699890137,0.0579999983,9,7,10,10,1,10,6
000776.SZ,8.9156,1.4437,1047.8997,2015-09-30,6642371584.0,241.5800018311,4.7779998779,3,1,10,10,1,1,1
000777.SZ,175.9954,11.4142,124.2656,2015-09-30,242322400.0,-2.2400000095,-0.0979999974,9,10,7,10,7,6,8
000778.SZ,38.1462,1.5259,257.9462,2015-09-30,10774218752.0,-56.3499984741,0.3670000136,6,2,9,10,1,8,3
000779.SZ,350.1611,9.466,25.3187,2015-09-30,58975092.0,-479.8699951172,-0.1599999964,10,9,1,10,9,10,8
000780.SZ,378.6267,1.1244,52.6425,2015-09-30,465567776.0,-4481.41015625,-0.1480000019,10,1,4,10,6,10,8
000782.SZ,-84.384,6.2116,81.3863,2015-09-30,743161408.0,309.8500061035,-0.2269999981,2,8,6,10,5,1,9
000783.SZ,12.985,2.8541,453.3799,2015-09-30,2116276992.0,159.3800048828,3.4619998932,3,4,10,10,3,1,1
000785.SZ,116.4496,2.7696,23.3887,2015-09-30,976874624.0,-70.1500015259,0.2109999955,8,4,1,10,4,8,4
000786.SZ,24.5586,3.6036,262.7178,2015-09-30,1975506176.0,-12.5900001526,0.6420000196,5,6,9,10,3,6,2
000788.SZ,-32.7087,6.2724,61.9827,2015-09-30,687193024.0,-431.5,-0.0099999998,2,8,5,10,5,10,7
000789.SZ,9.8902,1.5745,39.1326,2015-09-30,1407490944.0,-61.9399986267,0.6949999928,3,2,2,10,3,8,2
000790.SZ,71.7105,6.5169,40.7315,2015-09-30,76263064.0,-457.6499938965,-0.1909999996,8,8,3,10,9,10,9
000791.SZ,80.3182,2.8502,100.9577,2015-09-30,502417600.0,-41.3199996948,0.9110000134,8,4,7,10,6,8,2
000792.SZ,22.4958,1.5535,277.5439,2015-09-30,3368455424.0,-16.9200000763,0.0250000004,4,2,9,10,2,7,6
000793.SZ,26.9171,2.5338,207.7895,2015-09-30,921473344.0,-36.5400009155,0.0500000007,5,4,9,10,4,8,6
000795.SZ,-217.4313,3.2555,53.294,2015-09-30,495186592.0,-298.8399963379,-0.5500000119,1,5,4,10,6,10,10
000796.SZ,152.6432,11.0811,61.7588,2015-09-30,3420774912.0,87.0299987793,0.300999999,9,10,5,10,2,2,3
000797.SZ,43.612,5.5606,62.6629,2015-09-30,512570880.0,5.5399999619,-0.8560000062,6,8,5,10,6,5,10
000798.SZ,76.7893,4.0187,34.0539,2015-09-30,132049144.0,-24.7900009155,0.001,8,6,2,10,8,7,7
000799.SZ,-499.5645,3.9521,67.4877,2015-09-30,127460520.0,180.25,0.6039999723,1,6,5,10,9,1,2
000800.SZ,2539.9076,2.7599,245.5898,2015-09-30,5376572416.0,-91.0400009155,0.1480000019,10,4,9,10,1,9,5
000801.SZ,141.4414,6.153,126.6746,2015-09-30,802897216.0,14.9799995422,0.0329999998,9,8,8,10,5,4,6
000802.SZ,118.2152,9.8744,90.8936,2015-09-30,99172960.0,-81.5599975586,0.1599999964,8,9,6,10,9,9,5
000803.SZ,-409.1939,13.8443,19.926,2015-09-30,30265370.0,-543.6400146484,-0.1809999943,1,10,1,10,10,10,8
000806.SZ,212.7546,14.6409,295.8763,2015-09-30,237040640.0,1371.4399414062,-0.2430000007,9,10,10,10,8,1,9
000807.SZ,-34.2648,1.4995,84.6781,2015-09-30,4436054016.0,70.3499984741,0.6660000086,2,1,6,10,2,3,2
000809.SZ,-72.7639,1.0886,36.7857,2015-09-30,10757157.0,-4357.919921875,-0.2230000049,2,1,2,10,10,10,9
000810.SZ,32.5285,5.8813,119.9202,2015-09-30,913570560.0,-15.8400001526,-0.0199999996,5,8,7,10,4,6,7
000811.SZ,14.5303,2.4118,49.0226,2015-09-30,1226336768.0,64.25,0.1550000012,4,4,4,10,4,3,5
000812.SZ,141.3663,9.7457,85.2251,2015-09-30,127477832.0,-57.9500007629,0.3300000131,9,9,6,10,9,8,3
000813.SZ,460.3183,4.9489,52.5932,2015-09-30,154344752.0,-83.3099975586,0.1850000024,10,7,4,10,8,9,4
000815.SZ,-8.4203,-17.5189,55.7568,2015-09-30,135940752.0,50.4799995422,-0.0049999999,3,1,4,10,8,3,7
000816.SZ,227.0334,2.9734,100.735,2015-09-30,528872384.0,-67.2900009155,0.0120000001,9,5,7,10,6,8,6
000818.SZ,45.2816,2.2032,44.54,2015-09-30,636087360.0,38.8800010681,0.2969999909,6,3,3,10,5,3,4
000819.SZ,105.7967,9.3044,60.7404,2015-09-30,342076384.0,39.3499984741,0.1659999937,8,9,5,10,7,3,5
000820.SZ,-693.5324,13.2123,32.7844,2015-09-30,34019808.0,-1832.6500244141,0.0270000007,1,10,2,10,10,10,6
000821.SZ,114.0532,3.4978,57.1846,2015-09-30,229290896.0,943.5200195312,0.1570000052,8,6,4,9,8,1,5
000822.SZ,23.2184,2.3543,52.5419,2015-09-30,847154112.0,29.4200000763,-0.0500000007,5,3,4,9,4,4,7
000823.SZ,32.4835,1.6009,45.6421,2015-09-30,901394048.0,-27.8099994659,0.4199999869,5,2,3,9,4,7,3
000825.SZ,195.5726,0.9459,236.9639,2015-09-30,16560717824.0,-238.8800048828,0.057,9,1,9,8,1,10,6
000826.SZ,34.5634,5.4302,300.9234,2015-09-30,1709942272.0,20.4099998474,-0.2980000079,6,8,10,8,3,4,9
000828.SZ,14.7319,2.6197,109.5651,2015-09-30,286341152.0,42.9799995422,-1.1569999456,4,4,7,8,7,3,10
000829.SZ,-14.0822,3.9723,84.2742,2015-09-30,9198274560.0,-129.7100067139,0.0989999995,2,6,6,8,1,9,5
000830.SZ,19.4052,1.4383,89.9425,2015-09-30,3171136768.0,15.9399995804,0.6800000072,4,1,6,8,2,4,2
000831.SZ,-1220.3042,5.9566,148.3104,2015-09-30,100826736.0,-1861.9799804688,0.0829999968,1,8,8,8,9,10,5
000833.SZ,111.3117,2.039,52.5984,2015-09-30,772342336.0,2.8399999142,0.1209999993,8,3,4,8,5,5,5
000835.SZ,-59.0103,10.0014,31.8196,2015-09-30,104397456.0,-89.7900009155,0.2150000036,2,9,1,8,9,9,4
000836.SZ,-58.3616,4.898,70.2918,2015-09-30,426145472.0,8.6400003433,0.3379999995,2,7,5,8,6,5,3
000837.SZ,-217.172,3.1303,92.9117,2015-09-30,607308672.0,-4590.1499023438,-0.3569999933,1,5,6,8,5,10,9
000838.SZ,57.5546,3.5178,53.5139,2015-09-30,84253960.0,82.0100021362,-0.6800000072,7,6,4,8,9,2,10
000839.SZ,125.5859,5.2025,366.4254,2015-09-30,557369600.0,167.6000061035,-0.050999999,9,8,10,8,6,1,7
000848.SZ,23.0546,6.85,100.7167,2015-09-30,558401792.0,0.4600000083,0.4959999919,5,9,7,9,5,6,3
000850.SZ,21.2606,1.7421,103.1426,2015-09-30,497354816.0,328.2399902344,0.0390000008,4,2,7,9,6,1,6
000851.SZ,116.4133,3.0523,79.0654,2015-09-30,1792931712.0,59.4799995422,0.074000001,8,5,6,9,3,3,5
000852.SZ,12247.6564,2.6799,68.236,2015-09-30,1050185792.0,-128.3999938965,-0.224999994,10,4,5,9,4,9,9
000856.SZ,-14.5963,5.4398,19.7944,2015-09-30,263099712.0,-236.1799926758,-0.1350000054,2,8,1,9,7,10,8
000858.SZ,19.0367,2.4146,976.7022,2015-09-30,3915927296.0,-2.2200000286,1.5039999485,4,4,10,9,2,6,1
000859.SZ,-2384.5304,2.6582,36.6767,2015-09-30,267882672.0,-1738.6600341797,0.0209999997,1,4,2,9,7,10,6
000860.SZ,25.7586,1.7628,92.8921,2015-09-30,1786932352.0,1.9600000381,0.5460000038,5,2,6,9,3,5,3
000861.SZ,48.9249,4.6462,127.7922,2015-09-30,364349216.0,-5.6900000572,0.1070000008,7,7,8,9,7,6,5
000862.SZ,125.4473,2.2215,37.7518,2015-09-30,264391488.0,16.0200004578,1.2159999609,9,3,2,9,7,4,1
000863.SZ,48.1678,2.9694,94.5004,2015-09-30,149852784.0,-60.1100006104,-1.6330000162,7,5,6,9,8,8,10
000868.SZ,120.7505,4.0608,51.5414,2015-09-30,901616960.0,71.3000030518,-0.9200000167,9,6,4,8,4,3,10
000876.SZ,17.7693,2.1117,395.7739,2015-09-30,17083872256.0,12.8500003815,1.1619999409,4,3,10,8,1,4,1
000877.SZ,365.0297,0.9782,66.2716,2015-09-30,1836928512.0,-205.3399963379,0.326000005,10,1,5,8,3,9,3
000878.SZ,195.8642,2.7188,146.8806,2015-09-30,19370287104.0,-560.4699707031,0.9829999804,9,4,8,8,1,10,1
000880.SZ,115.5826,3.0959,39.51,2015-09-30,534499712.0,-41.5,0.6380000114,8,5,2,8,6,8,2
000881.SZ,-5.1143,4.9537,40.6228,2015-09-30,540162688.0,-1257.9699707031,0.2430000007,3,7,2,8,6,10,4
000882.SZ,266.6062,3.2812,194.7826,2015-09-30,363181248.0,381.5599975586,0.0280000009,10,5,9,8,7,1,6
000883.SZ,16.1551,2.0831,326.2737,2015-09-30,1655264896.0,56.9199981689,0.5580000281,4,3,10,8,3,3,3
000885.SZ,46.1307,3.4941,77.3448,2015-09-30,830118016.0,-28.0699996948,0.5680000186,6,6,6,8,5,7,3
000886.SZ,107.0417,1.6757,46.6727,2015-09-30,63117800.0,-4.7199997902,-0.0419999994,8,2,3,8,9,6,7
000887.SZ,41.3844,8.5024,276.0845,2015-09-30,1588002176.0,37.1599998474,0.6169999838,6,9,9,8,3,3,2
000888.SZ,29.5071,3.1746,56.2216,2015-09-30,371210176.0,0.1899999976,0.5550000072,5,5,4,8,7,6,3
000889.SZ,49.2603,2.8782,63.302,2015-09-30,501982208.0,48.1500015259,0.2800000012,7,5,5,8,6,3,4
000890.SZ,809.6636,3.0936,32.3075,2015-09-30,366397952.0,-27.4699993134,0.476000011,10,5,2,8,7,7,3
000892.SZ,-1626.4774,3750.8523,48.465,2015-09-30,0.0,-40.9599990845,-0.0040000002,1,10,3,8,10,8,7
000893.SZ,-49.7345,1.9468,81.6307,2015-09-30,2579578112.0,7.1700000763,0.8249999881,2,2,6,8,2,5,2
000895.SZ,15.618,4.1325,597.457,2015-09-30,11850490880.0,-1.3700000048,1.4060000181,4,7,10,8,1,6,1
000897.SZ,-96.7753,5.8197,78.9229,2015-09-30,522269728.0,-358.7300109863,0.0489999987,1,8,6,8,6,10,6
000898.SZ,69.4885,0.7322,351.6117,2015-09-30,12570999808.0,-196.2100067139,0.7070000172,7,1,10,8,1,9,2
000899.SZ,13.6408,2.8153,65.3145,2015-09-30,716672512.0,54.5,1.2480000257,3,4,5,8,5,3,1
000900.SZ,15.7204,1.1129,74.6772,2015-09-30,2157946624.0,14.0200004578,1.1289999485,4,1,6,8,3,4,1
000901.SZ,565.6746,12.7028,171.1325,2015-09-30,386609440.0,81.5400009155,-0.3000000119,10,10,8,8,7,2,9
000902.SZ,22.0643,3.4446,152.8083,2015-09-30,2632459776.0,45.7299995422,1.0290000439,4,6,8,8,2,3,1
000903.SZ,33.2325,1.5714,57.0496,2015-09-30,554863936.0,30.1399993896,0.2809999883,6,2,4,8,6,4,4
000905.SZ,18.5154,2.0439,53.2593,2015-09-30,1740295808.0,9.2399997711,0.6729999781,4,3,4,8,3,5,2
000906.SZ,59.32,3.0243,47.3091,2015-09-30,4806054912.0,-4.6999998093,-0.5920000076,7,5,3,9,2,6,10
000908.SZ,41.3349,5.6198,110.0518,2015-09-30,500257856.0,11.5399999619,-0.1340000033,6,8,7,8,6,5,8
000909.SZ,107.4373,4.3083,33.0162,2015-09-30,957522688.0,-11.529999733,-1.1369999647,8,7,2,9,4,6,10
000910.SZ,47.2073,3.2787,87.987,2015-09-30,2173796864.0,90.8300018311,1.2929999828,7,5,6,9,2,2,1
000911.SZ,-21.7414,2.8977,45.7602,2015-09-30,789251776.0,127.2300033569,-1.8300000429,2,5,3,9,5,2,10
000912.SZ,-3.0902,4.1274,29.1915,2015-09-30,760647936.0,101.4800033569,0.6069999933,3,7,1,9,5,2,2
000913.SZ,-24.2059,1.5165,32.2464,2015-09-30,414162816.0,68.5800018311,0.150000006,2,1,2,9,6,3,5
000915.SZ,29.1039,5.9074,59.8627,2015-09-30,268346352.0,-39.9799995422,0.9679999948,5,8,5,9,7,8,2
000917.SZ,246.0384,6.0329,607.1394,2015-09-30,1334029824.0,5.5700001717,-0.0379999988,10,8,10,9,4,5,7
000918.SZ,-126.8863,1.7914,73.4306,2015-09-30,396437120.0,-905.6500244141,-0.6560000181,1,2,6,9,6,10,10
000919.SZ,35.1383,3.0407,71.568,2015-09-30,781130304.0,0.150000006,0.3120000064,6,5,5,9,5,6,3
000920.SZ,31.3393,6.687,63.8486,2015-09-30,233542128.0,-59.0400009155,0.398999989,5,9,5,9,8,8,3
000921.SZ,17.9563,2.5736,102.0681,2015-09-30,5616212992.0,-35.4199981689,-0.001,4,4,7,9,1,7,7
000922.SZ,-45.5527,3.7192,84.3151,2015-09-30,368135712.0,-215.8800048828,-0.0949999988,2,6,6,9,7,9,8
000923.SZ,-24.4178,6.1312,25.2252,2015-09-30,62400116.0,-2354.3100585938,-0.1330000013,2,8,1,9,9,10,8
000925.SZ,112.4599,4.1088,49.2607,2015-09-30,458212864.0,133.6699981689,-1.4129999876,8,7,4,9,6,2,10
000926.SZ,9.8993,1.2381,74.6549,2015-09-30,2457487616.0,-8.279999733,-0.5619999766,3,1,6,9,2,6,10
000927.SZ,-5.5531,9.9761,97.7842,2015-09-30,615341952.0,-22.8799991608,-0.7960000038,3,9,7,9,5,7,10
000928.SZ,23.3199,3.6756,95.9345,2015-09-30,1964199936.0,410.2399902344,-0.4050000012,5,6,7,9,3,1,9
000929.SZ,10.054,2.7228,23.2207,2015-09-30,194253504.0,76.9199981689,0.2230000049,3,4,1,9,8,2,4
000930.SZ,-40.9717,5.0606,127.8809,2015-09-30,1536295040.0,-1676.0699462891,-0.2969999909,2,7,8,9,3,10,9
000931.SZ,29.0006,7.6666,59.6565,2015-09-30,285380256.0,651.3400268555,-0.0410000011,5,9,5,9,7,1,7
000932.SZ,-89.5459,0.8773,88.3585,2015-09-30,10501362688.0,-2646.3500976562,0.9620000124,2,1,6,9,1,10,2
000933.SZ,-26.7306,1.2049,80.011,2015-09-30,3898765824.0,-141.8399963379,0.0130000003,2,1,6,9,2,9,6
000935.SZ,-59.8966,1.7749,47.6387,2015-09-30,483914240.0,-213.6100006104,0.2599999905,2,2,3,9,6,9,4
000936.SZ,65.9896,2.4843,69.995,2015-09-30,420210144.0,125.1100006104,0.0250000004,7,4,5,9,6,2,6
000937.SZ,-811.5508,0.9799,178.0908,2015-09-30,2957978880.0,-95.8600006104,-0.0460000001,1,1,9,9,2,9,7
000938.SZ,79.7044,6.3572,143.782,2015-09-30,3497350400.0,52.8300018311,-3.6500000954,8,8,8,9,2,3,10
000948.SZ,1029.2333,3.1013,42.2929,2015-09-30,496732896.0,-41.1300010681,-1.3839999437,10,5,3,9,6,8,10
000949.SZ,43.2546,1.9137,46.534,2015-09-30,890859520.0,57.0600013733,0.2759999931,6,2,3,9,4,3,4
000950.SZ,-9.744,1.8517,34.8501,2015-09-30,883314816.0,20.5499992371,0.2300000042,3,2,2,9,4,4,4
000951.SZ,17.7098,1.2947,57.671,2015-09-30,4117914368.0,-45.9799995422,1.1940000057,4,1,4,9,2,8,1
000952.SZ,-14.1711,6.4819,30.8591,2015-09-30,190770176.0,67.9400024414,-0.1539999992,2,8,1,9,8,3,8
000953.SZ,25.6123,11.9583,24.7598,2015-09-30,181752368.0,-242.6699981689,-0.273999989,5,10,1,9,8,10,9
000955.SZ,-1551.6969,4.7011,30.9577,2015-09-30,102255864.0,-199.1499938965,-0.0149999997,1,7,1,9,9,9,7
000958.SZ,63.145,13.6718,140.3773,2015-09-30,103529592.0,29.8700008392,0.1620000005,7,10,8,9,9,4,5
000959.SZ,-123.1998,0.8726,208.9309,2015-09-30,3884879104.0,-5355.5698242188,-0.1570000052,1,1,9,9,2,10,8
001696.SZ,35.3726,3.8145,131.9071,2015-09-30,1192644352.0,-1.0800000429,-0.0209999997,6,6,8,9,4,6,7
001872.SZ,40.078,4.0956,170.0242,2015-09-30,509816992.0,13.8599996567,1.0,6,6,8,9,6,4,1
001896.SZ,32.1997,3.2761,115.2912,2015-09-30,1054230464.0,43.9799995422,1.2580000162,5,5,7,9,4,3,1
001914.SZ,12.9375,1.5837,52.69,2015-09-30,1459733888.0,-146.3399963379,-0.8489999771,3,2,4,9,3,9,10
600000.SH,6.1324,1.1574,2960.3059,2015-09-30,37930999808.0,6.7899999619,15.795999527,3,1,10,9,1,5,1
600006.SH,68.0307,2.7526,173.0,2015-09-30,3732567296.0,78.6800003052,0.064000003,7,4,8,9,2,2,5
600007.SH,25.3567,2.6565,141.5232,2015-09-30,559915200.0,8.5200004578,0.8870000243,5,4,8,9,5,5,2
600009.SH,23.4041,2.8935,552.0736,2015-09-30,1625948672.0,21.9200000763,0.9010000229,5,5,10,9,3,4,2
600051.SH,25.6611,1.3661,28.8186,2015-09-30,791418048.0,20.2600002289,-0.2109999955,5,1,1,9,5,4,9
600052.SH,19.062,2.6706,50.4766,2015-09-30,575717440.0,-123.4899978638,0.1140000001,4,4,4,9,5,9,5
600053.SH,66.9059,6.4859,56.9673,2015-09-30,202292736.0,-22.6100006104,0.6470000148,7,8,4,9,8,7,2
600054.SH,43.3976,3.418,95.9035,2015-09-30,566821248.0,36.8699989319,0.8659999967,6,6,7,9,5,3,2
600055.SH,184.8082,9.4963,64.5021,2015-09-30,178347056.0,81.1900024414,-0.3359999955,9,9,5,9,8,2,9
600056.SH,22.9968,2.8318,147.2194,2015-09-30,4959973888.0,22.7800006866,-0.3310000002,4,4,8,9,1,4,9
600057.SH,37.3796,2.8631,113.2622,2015-09-30,17354022912.0,-19.75,1.746999979,6,4,7,9,1,7,1
600058.SH,-365.9014,4.8388,399.9299,2015-09-30,17600335872.0,-621.1599731445,0.2230000049,1,7,10,8,1,10,4
